id_seq1,response_seq1,id_seq2,response_seq2,distance
NP_000542.1,1,4WQO_A,1,10155.730053600042
NP_000542.1,1,XP_030657505.1,1,3410.051751136366
NP_000542.1,1,NP_001126390.1,1,3337.3642941588405
NP_000542.1,1,XP_004033637.2,1,9754.407144405339
NP_000542.1,1,XP_010367684.1,1,4101.662245207988
NP_000542.1,1,7Q2J_C,1,12192.870355474564
NP_000542.1,1,3ZRC_C,1,11412.605006421405
NP_000542.1,1,1LQB_C,1,12486.862178346379
NP_000542.1,1,1LM8_V,1,11469.991627860922
NP_000542.1,1,7KHH_C,1,11556.669218610337
NP_000542.1,1,XP_011915503.1,1,7375.583499730293
NP_000542.1,1,7CJB_A,1,12282.38771473953
NP_000542.1,1,XP_011732630.1,1,7725.6652201233865
NP_000542.1,1,XP_007983401.1,1,8397.880923828448
NP_000542.1,1,6ZHC_AAA,1,11877.805181345875
NP_000542.1,1,XP_011807665.1,1,7826.292022900888
NP_000542.1,1,XP_025231003.1,1,8451.8764613328
NP_000542.1,1,4B9K_C,1,12055.056237007911
NP_000542.1,1,4BKS_C,1,13596.843376441722
4WQO_A,1,NP_000542.1,1,10155.730053600042
4WQO_A,1,XP_030657505.1,1,9700.011844192102
4WQO_A,1,NP_001126390.1,1,9689.798223689344
4WQO_A,1,XP_004033637.2,1,12499.987181913064
4WQO_A,1,XP_010367684.1,1,9825.374889915844
4WQO_A,1,7Q2J_C,1,13428.947290294356
4WQO_A,1,3ZRC_C,1,13134.778846150964
4WQO_A,1,1LQB_C,1,14216.417529080849
4WQO_A,1,1LM8_V,1,13183.833085137176
4WQO_A,1,7KHH_C,1,12917.120458864683
4WQO_A,1,XP_011915503.1,1,11913.340694670655
4WQO_A,1,7CJB_A,1,14334.789812744786
4WQO_A,1,XP_011732630.1,1,12040.964252905314
4WQO_A,1,XP_007983401.1,1,11765.319213991223
4WQO_A,1,6ZHC_AAA,1,13838.251719948274
4WQO_A,1,XP_011807665.1,1,12713.452214188126
4WQO_A,1,XP_025231003.1,1,12876.586288884522
4WQO_A,1,4B9K_C,1,12711.360190406214
4WQO_A,1,4BKS_C,1,15126.607174482391
XP_030657505.1,1,NP_000542.1,1,3410.051751136366
XP_030657505.1,1,4WQO_A,1,9700.011844192102
XP_030657505.1,1,NP_001126390.1,1,3089.2610398874153
XP_030657505.1,1,XP_004033637.2,1,9545.880841408984
XP_030657505.1,1,XP_010367684.1,1,3498.6971388587426
XP_030657505.1,1,7Q2J_C,1,11670.381049650092
XP_030657505.1,1,3ZRC_C,1,11338.962337897026
XP_030657505.1,1,1LQB_C,1,12277.148365681955
XP_030657505.1,1,1LM8_V,1,11343.857613086002
XP_030657505.1,1,7KHH_C,1,11651.926790329906
XP_030657505.1,1,XP_011915503.1,1,7617.6952194161095
XP_030657505.1,1,7CJB_A,1,12215.590773081942
XP_030657505.1,1,XP_011732630.1,1,7957.921930082427
XP_030657505.1,1,XP_007983401.1,1,8530.264616492195
XP_030657505.1,1,6ZHC_AAA,1,11789.87137567099
XP_030657505.1,1,XP_011807665.1,1,8153.576604911854
XP_030657505.1,1,XP_025231003.1,1,8589.864053475214
XP_030657505.1,1,4B9K_C,1,11379.0451940708
XP_030657505.1,1,4BKS_C,1,13282.326783352883
NP_001126390.1,1,NP_000542.1,1,3337.3642941588405
NP_001126390.1,1,4WQO_A,1,9689.798223689344
NP_001126390.1,1,XP_030657505.1,1,3089.2610398874153
NP_001126390.1,1,XP_004033637.2,1,9577.215196091087
NP_001126390.1,1,XP_010367684.1,1,3192.799787498408
NP_001126390.1,1,7Q2J_C,1,11857.129741131313
NP_001126390.1,1,3ZRC_C,1,11120.189511696704
NP_001126390.1,1,1LQB_C,1,12287.123740215786
NP_001126390.1,1,1LM8_V,1,11180.417550734568
NP_001126390.1,1,7KHH_C,1,11366.118292727477
NP_001126390.1,1,XP_011915503.1,1,8098.8349529034285
NP_001126390.1,1,7CJB_A,1,12205.790473069277
NP_001126390.1,1,XP_011732630.1,1,8461.182878925743
NP_001126390.1,1,XP_007983401.1,1,8893.21114114964
NP_001126390.1,1,6ZHC_AAA,1,11679.753327583
NP_001126390.1,1,XP_011807665.1,1,8399.578197456336
NP_001126390.1,1,XP_025231003.1,1,8914.55790492073
NP_001126390.1,1,4B9K_C,1,11636.197713593523
NP_001126390.1,1,4BKS_C,1,13643.383826338544
XP_004033637.2,1,NP_000542.1,1,9754.407144405339
XP_004033637.2,1,4WQO_A,1,12499.987181913064
XP_004033637.2,1,XP_030657505.1,1,9545.880841408984
XP_004033637.2,1,NP_001126390.1,1,9577.215196091087
XP_004033637.2,1,XP_010367684.1,1,9962.61113778587
XP_004033637.2,1,7Q2J_C,1,12043.256952718697
XP_004033637.2,1,3ZRC_C,1,11817.618727553161
XP_004033637.2,1,1LQB_C,1,13430.80756371644
XP_004033637.2,1,1LM8_V,1,12300.925654761644
XP_004033637.2,1,7KHH_C,1,11572.100574483526
XP_004033637.2,1,XP_011915503.1,1,11140.719400770755
XP_004033637.2,1,7CJB_A,1,13440.235650138091
XP_004033637.2,1,XP_011732630.1,1,11249.608593678955
XP_004033637.2,1,XP_007983401.1,1,10991.599736743
XP_004033637.2,1,6ZHC_AAA,1,12965.72451356326
XP_004033637.2,1,XP_011807665.1,1,11333.187840746186
XP_004033637.2,1,XP_025231003.1,1,11487.943291487167
XP_004033637.2,1,4B9K_C,1,13458.026173413586
XP_004033637.2,1,4BKS_C,1,15514.423465986376
XP_010367684.1,1,NP_000542.1,1,4101.662245207988
XP_010367684.1,1,4WQO_A,1,9825.374889915844
XP_010367684.1,1,XP_030657505.1,1,3498.6971388587426
XP_010367684.1,1,NP_001126390.1,1,3192.799787498408
XP_010367684.1,1,XP_004033637.2,1,9962.61113778587
XP_010367684.1,1,7Q2J_C,1,12008.951047788501
XP_010367684.1,1,3ZRC_C,1,11331.589824616483
XP_010367684.1,1,1LQB_C,1,12371.90503985402
XP_010367684.1,1,1LM8_V,1,11423.589361030845
XP_010367684.1,1,7KHH_C,1,11724.15757238308
XP_010367684.1,1,XP_011915503.1,1,7627.347063594813
XP_010367684.1,1,7CJB_A,1,12550.939825041149
XP_010367684.1,1,XP_011732630.1,1,8107.476480471286
XP_010367684.1,1,XP_007983401.1,1,8879.11628694639
XP_010367684.1,1,6ZHC_AAA,1,11902.700822180663
XP_010367684.1,1,XP_011807665.1,1,7895.399806386706
XP_010367684.1,1,XP_025231003.1,1,8612.004856651514
XP_010367684.1,1,4B9K_C,1,11970.170133054733
XP_010367684.1,1,4BKS_C,1,13637.702759535483
7Q2J_C,1,NP_000542.1,1,12192.870355474564
7Q2J_C,1,4WQO_A,1,13428.947290294356
7Q2J_C,1,XP_030657505.1,1,11670.381049650092
7Q2J_C,1,NP_001126390.1,1,11857.129741131313
7Q2J_C,1,XP_004033637.2,1,12043.256952718697
7Q2J_C,1,XP_010367684.1,1,12008.951047788501
7Q2J_C,1,3ZRC_C,1,11114.632400844683
7Q2J_C,1,1LQB_C,1,12614.331748447446
7Q2J_C,1,1LM8_V,1,11640.068636332571
7Q2J_C,1,7KHH_C,1,11046.2228886171
7Q2J_C,1,XP_011915503.1,1,12460.235188113711
7Q2J_C,1,7CJB_A,1,12907.248461679901
7Q2J_C,1,XP_011732630.1,1,12611.560547766552
7Q2J_C,1,XP_007983401.1,1,12170.193691192608
7Q2J_C,1,6ZHC_AAA,1,12773.11069472448
7Q2J_C,1,XP_011807665.1,1,12940.387227340943
7Q2J_C,1,XP_025231003.1,1,13369.146910854748
7Q2J_C,1,4B9K_C,1,13487.311474422302
7Q2J_C,1,4BKS_C,1,16288.178816532241
3ZRC_C,1,NP_000542.1,1,11412.605006421405
3ZRC_C,1,4WQO_A,1,13134.778846150964
3ZRC_C,1,XP_030657505.1,1,11338.962337897026
3ZRC_C,1,NP_001126390.1,1,11120.189511696704
3ZRC_C,1,XP_004033637.2,1,11817.618727553161
3ZRC_C,1,XP_010367684.1,1,11331.589824616483
3ZRC_C,1,7Q2J_C,1,11114.632400844683
3ZRC_C,1,1LQB_C,1,5064.085114374043
